movie_name,award_category,award_year,country,speech
Shoe-Shine,Special Award,1947 (20th),Italy,Not Available
Monsieur Vincent,Special Foreign Language Film Award,1948 (21st),France,Not Available
The Bicycle Thief,Special Foreign Language Film Award,1949 (22nd),Italy,Not Available
The Walls of Malapaga,Honorary Foreign Language Film Award,1950 (23rd),France,Not Available
Rashomon,Honorary Foreign Language Film Award,1951 (24th),Japan,Not Available
Forbidden Games,Honorary Foreign Language Film Award,1952 (25th),France,JACQUES BERGERAC: Thank you. Thank you very much.
Gate of Hell,Honorary Foreign Language Film Award,1954 (27th),Japan,MASAICHI NAGATA: Arigato gozaimasu. Thank you.
"Samurai, The Legend of Musashi",Honorary Foreign Language Film Award,1955 (28th),Japan,JUN TSUCHIYA (in New York): The Japanese motion picture industry will be greatly honored and encouraged by this award. Thank you.
La Strada,Foreign Language Film,1956 (29th),Italy,DINO DE LAURENTIIS: Thank you. This award belong to Federico Fellini; he is in audience.
The Nights of Cabiria,Foreign Language Film,1957 (30th),Italy,"[<p class=""MInormal""> GIULIETTA MASINA:<br/>
For Mr. Dino De Laurentiis, for the director Federico Fellini, for myself, thank you. Thank you very much.<br/>
</p>]"
My Uncle,Foreign Language Film,1958 (31st),France,"[<p class=""MInormal""> JACQUES TATI:<br/>
Well, I want to say a few words with my very bad English. I find that the people who speak the worst English want to talk more than the others. But for my first visit in Hollywood I feel I'm doing fine. And I want to tell you something who may for myself is very important. Hollywood, it's a town at the beginning of comedy, slapstick, pantomime. I'm, I will remember all the names from Mack Sennett to Chaplin to everyone. I'm still making pantomime in my little corner myself. Tonight, I know that if in Hollywood they have not done so many funny pictures, I would not be here tonight. So for all those great comedians tonight, I'm not the uncle. I'm the nephew. And I respect very much Hollywood.<br/>
</p>]"
Black Orpheus,Foreign Language Film,1959 (32nd),France,"[<p class=""MInormal""> SACHA GORDINE:<br/>
Je suis très ému. J'en remercie l'Académie pour cette distinction, cet honneur. Au nom de tous les camarades qui ont travaillé dans ce film, je dis merci et pour cette formidable réception à Hollywood.<br/>
</p>]"
The Virgin Spring,Foreign Language Film,1960 (33rd),Sweden,"[<p class=""MInormal""> CYRUS J. HARVEY:<br/>
I'm proud to accept on behalf of Svensk Filmindustri and all those responsible for ""The Virgin Spring"": Ingmar Bergman, the director; Ulla Isaksson, the screenwriter; Dr. Carl Anders Dymling, the producer. Tack så mycket.<br/>
</p>]"
Through a Glass Darkly,Foreign Language Film,1961 (34th),Sweden,"[<p class=""MInormal""> HARRIET ANDERSSON:<br/>
I'm sorry that Ingmar is not here, I mean Mr. Bergman. But he's just started to write this new, new picture so then he never leave the country. Thank you very much from him.<br/>
</p>]"
Sundays and Cybele,Foreign Language Film,1962 (35th),France,"[<p class=""MInormal""> SERGE BOURGUIGNON:<br/>
Well, I must say I'm very proud, especially on behalf of my crew; my actors Hardy Krüger, Nicole Courcel, little Patricia Gozzi; and my producers, Mr. Romain Pinès and and his partners. And well, what else could I say? Thank you very, very much; and I say merci beaucoup. Oh yes, one more thing. Maybe the next title of my film will be ""Monday and Oscar"" after ""Sundays and Cybele."" Thank you.<br/>
</p>]"
Federico Fellini's 8-1/2,Foreign Language Film,1963 (36th),Italy,"[<p class=""MInormal""> FEDERICO FELLINI:<br/>
I am particularly happy to receive this fabulous award because it comes to me on the eve of my next picture, and I don't think that a director about to start his new job could wish for anything more stimulating and auspicious as this. I want you all to accept my deepest and most humble thanks. Arrivederci e buona fortuna.<br/>
</p>]"
"Yesterday, Today and Tomorrow",Foreign Language Film,1964 (37th),Italy,"[<p class=""MInormal""> JOSEPH E. LEVINE:<br/>
On behalf of Carlo Ponti, Vittorio De Sica, Marcello Mastroianni and Sophia Loren, thank you very much.<br/>
</p>]"
The Shop on Main Street,Foreign Language Film,1965 (38th),Czechoslovakia,"[<p class=""MInormal""> JAN KADAR:<br/>
I am very, very happy and deeply moved. I should like to thanks all member of Academy, all voters of Academy, and all friends who have helped our film such a lot here in States. Uncle Oscar is the highest appreciation not only for us personally, but for all our cinematography. Thank you, and I am sorry for my English.<br/>
</p>]"
A Man and a Woman,Foreign Language Film,1966 (39th),France,"[<p class=""MInormal""> CLAUDE LELOUCH:<br/>
Thank you. Thank you very much. I'm sorry, I don't speak English. But ""Un homme et une femme"" est un film d'amour; il a eu beaucoup de succès dans votre pays. Je voudrais maintenant qu'il y a pleine de metteurs-en-scène qui fassent des films pour que s'écoute les guerres du monde. Merci. Thank you very much.<br/>
</p>]"
Closely Watched Trains,Foreign Language Film,1967 (40th),Czechoslovakia,"[<p class=""MInormal""> JIRI MENZEL:<br/>
I am very happy that Americans like Czech film. Thank you.<br/>
</p>]"
War and Peace,Foreign Language Film,1968 (41st),Union of Soviet Socialist Republics,"[<p class=""MInormal""> LUDMILA SAVELYEVA:<br/>
[Makes a statement in Russian.] Thank you very much. I love you.<br/>
</p>]"
Z,Foreign Language Film,1969 (42nd),Algeria,"[<p class=""MInormal""> HAMED RACHEDI:<br/>
Our thanks to all technician, all artist, all friends who make this Oscar possible. Thank you.<br/>
<br/>
JACQUES PERRIN:<br/>
We want thanks also especially our partners Mr. Schlumberger, Mr. Lagda* and Mr. d'Argila, and also the award because the movie is censored in very many country but with this award you help us. Thank you.<br/>
</p>]"
